date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:46	42539/42539	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2007:23:46%20GMT	https://motostar.az/products/freedom-jet-49/	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/products/freedom-jet-49/index.html	(from )
11:23:46	112/112	---MC-	200	added ('OK')	text/plain	date:Wed,%2016%20Jul%202025%2007:23:46%20GMT	https://motostar.az/robots.txt		(from )
11:23:46	116345/116345	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Jul%202025%2000:58:35%20GMT	https://motostar.az/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-includes/css/dist/block-library/style.min6c2d.css	(from https://motostar.az/products/freedom-jet-49/)
11:23:46	1838/1838	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Apr%202024%2007:46:20%20GMT	https://motostar.az/wp-content/themes/motostore/style.css?ver=1.0.0	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/themes/motostore/style8a54.css	(from https://motostar.az/products/freedom-jet-49/)
11:23:47	2037/2037	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Apr%202024%2007:46:20%20GMT	https://motostar.az/wp-content/themes/motostore/assets/css/fonts.css?ver=6.8.2	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/themes/motostore/assets/css/fonts6c2d.css	(from https://motostar.az/products/freedom-jet-49/)
11:23:47	18452/18452	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Apr%202024%2007:46:20%20GMT	https://motostar.az/wp-content/themes/motostore/assets/css/plugins/swiper-bundle.min.css?ver=6.8.2	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/themes/motostore/assets/css/plugins/swiper-bundle.min6c2d.css	(from https://motostar.az/products/freedom-jet-49/)
11:23:47	12795/12795	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Apr%202024%2007:46:20%20GMT	https://motostar.az/wp-content/themes/motostore/assets/css/plugins/fancybox.min.css?ver=6.8.2	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/themes/motostore/assets/css/plugins/fancybox.min6c2d.css	(from https://motostar.az/products/freedom-jet-49/)
11:23:47	57900/57900	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Jul%202025%2007:23:18%20GMT	https://motostar.az/wp-content/themes/motostore/assets/custom-css/main.css?ver=1.0.0	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/themes/motostore/assets/custom-css/main8a54.css	(from https://motostar.az/products/freedom-jet-49/)
11:23:48	0/0	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Apr%202024%2007:46:20%20GMT	https://motostar.az/wp-content/themes/motostore/assets/custom-css/mixin.css?ver=1713339980	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/themes/motostore/assets/custom-css/mixin2ae0.css	(from https://motostar.az/products/freedom-jet-49/)
11:23:48	105215/105215	---M--	200	added ('OK')	application/javascript	date:Wed,%2017%20Apr%202024%2007:46:20%20GMT	https://motostar.az/wp-content/themes/motostore/assets/js/jquery-3.7.0.js?ver=1	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/themes/motostore/assets/js/jquery-3.7.068b3.js	(from https://motostar.az/products/freedom-jet-49/)
11:23:48	68253/68253	---M--	200	added ('OK')	application/javascript	date:Wed,%2017%20Apr%202024%2007:46:20%20GMT	https://motostar.az/wp-content/themes/motostore/assets/js/plugins/fancybox.min.js?ver=1	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/themes/motostore/assets/js/plugins/fancybox.min68b3.js	(from https://motostar.az/products/freedom-jet-49/)
11:23:48	139413/139413	---M--	200	added ('OK')	application/javascript	date:Wed,%2017%20Apr%202024%2007:46:20%20GMT	https://motostar.az/wp-content/themes/motostore/assets/js/plugins/swiper-bundle.min.js?ver=1	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/themes/motostore/assets/js/plugins/swiper-bundle.min68b3.js	(from https://motostar.az/products/freedom-jet-49/)
11:23:48	463/463	---M--	200	added ('OK')	application/javascript	date:Wed,%2017%20Apr%202024%2007:46:20%20GMT	https://motostar.az/wp-content/themes/motostore/assets/js/adminbar.js?ver=1	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/themes/motostore/assets/js/adminbar68b3.js	(from https://motostar.az/products/freedom-jet-49/)
11:23:49	7515/7515	---M--	200	added ('OK')	application/javascript	date:Wed,%2017%20Apr%202024%2007:46:20%20GMT	https://motostar.az/wp-content/themes/motostore/assets/js/project.js?ver=1	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/themes/motostore/assets/js/project68b3.js	(from https://motostar.az/products/freedom-jet-49/)
11:23:49	283/283	---M--	200	added ('OK')	image/png	date:Thu,%2008%20May%202025%2005:47:39%20GMT	https://motostar.az/wp-content/uploads/2025/05/cropped-M-32x32.png	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/uploads/2025/05/cropped-M-32x32.png	(from https://motostar.az/products/freedom-jet-49/)
11:23:49	762/762	---M--	200	added ('OK')	image/png	date:Thu,%2008%20May%202025%2005:47:39%20GMT	https://motostar.az/wp-content/uploads/2025/05/cropped-M-192x192.png	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/uploads/2025/05/cropped-M-192x192.png	(from https://motostar.az/products/freedom-jet-49/)
11:23:49	709/709	---M--	200	added ('OK')	image/png	date:Thu,%2008%20May%202025%2005:47:39%20GMT	https://motostar.az/wp-content/uploads/2025/05/cropped-M-180x180.png	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/uploads/2025/05/cropped-M-180x180.png	(from https://motostar.az/products/freedom-jet-49/)
11:23:50	47035/47035	---M--	200	added ('OK')	image/gif	date:Wed,%2017%20Apr%202024%2007:46:20%20GMT	https://motostar.az/wp-content/themes/motostore/assets/images/loader_3.gif	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/themes/motostore/assets/images/loader_3.gif	(from https://motostar.az/products/freedom-jet-49/)
11:23:50	76372/76372	---M--	200	added ('OK')	image/png	date:Fri,%2002%20May%202025%2007:37:56%20GMT	https://motostar.az/wp-content/uploads/2025/05/ms6.png	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/uploads/2025/05/ms6.png	(from https://motostar.az/products/freedom-jet-49/)
11:23:50	101063/101063	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20May%202024%2011:34:54%20GMT	https://motostar.az/wp-content/uploads/2024/04/JET49-2-1000x1000.jpg	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/uploads/2024/04/JET49-2-1000x1000.jpg	(from https://motostar.az/products/freedom-jet-49/)
11:23:50	96949/96949	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20May%202024%2011:34:44%20GMT	https://motostar.az/wp-content/uploads/2024/04/JET49-1-1000x1000.jpg	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/uploads/2024/04/JET49-1-1000x1000.jpg	(from https://motostar.az/products/freedom-jet-49/)
11:23:50	91924/91924	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jun%202024%2007:47:24%20GMT	https://motostar.az/wp-content/uploads/2024/04/8-1000x1000.jpg	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/uploads/2024/04/8-1000x1000.jpg	(from https://motostar.az/products/freedom-jet-49/)
11:23:51	97590/97590	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jun%202024%2007:46:32%20GMT	https://motostar.az/wp-content/uploads/2024/04/3-1-1000x1000.jpg	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/uploads/2024/04/3-1-1000x1000.jpg	(from https://motostar.az/products/freedom-jet-49/)
11:23:51	101854/101854	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jun%202024%2007:46:21%20GMT	https://motostar.az/wp-content/uploads/2024/04/2-1-1000x1000.jpg	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/uploads/2024/04/2-1-1000x1000.jpg	(from https://motostar.az/products/freedom-jet-49/)
11:23:51	73147/73147	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jun%202024%2007:46:52%20GMT	https://motostar.az/wp-content/uploads/2024/04/5-1-1000x1000.jpg	C:/Benim%20Web%20Sitem/Motostar1/motostar.az/wp-content/uploads/2024/04/5-1-1000x1000.jpg	(from https://motostar.az/products/freedom-jet-49/)
